卖家,卖家类型,套装名称,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,套装内容,适合表现,搭配/替换建议,甲胄结构/制作方式,复原依据类型,考据置信度,考据备注,参考价格（元）
未标明工作室,小工作室,汉代高级甲士,五虎上将｜黄忠,汉代札甲高级甲士,汉,-0100 / 0150,汉代；札甲；小札片编缀胄；不封顶胄意象；高级甲士,小札片编缀铁胄风味头胄、札/鳞甲式甲身、肩臂防护、甲裙及原配兵器,西汉—东汉高级甲士；汉代高级武人,按高价完整套装保留，不拆头胄或甲身。武器仅在有同工艺层级、更合适的汉代兵器时少量替换。,小札片编缀铁胄风味；小甲片札/鳞甲式甲身；肩臂防护；甲裙,考古实物；学术研究,中高,最强考古锚点偏西汉；整套适合宽泛汉代高级甲士，具体个人归属无直接依据。,
未标明工作室,小工作室,东汉末高级武官,吕布,东汉末小片甲高级武官,东汉末—北方,0150 / 0220,东汉末；高级武官；小片甲；紫金冠；英雄化；风味保留,戏剧化紫金冠及双长羽、细密小甲片甲身、较短肩臂防护、分片甲裙、虎皮/披风装饰及方天画戟式长兵,东汉末高级武官/甲士；吕布题材,按高价完整套装保留，不拆甲身或冠饰。紫金冠作为角色化首服保留；建议将夸张方天画戟替换为同工艺层级的卜字戟/铁戟、长矛/长铍或环首长刀。,细密小甲片甲身；较短肩臂防护；分片甲裙；角色化冠饰/披风,考古实物；学术研究,中,甲身可落在东汉后期—三国早期；紫金冠和方天画戟明显后世英雄化。,
未标明工作室,小工作室,南匈奴贵族骑兵,于夫罗,东汉末南匈奴札甲贵族骑兵,东汉末—南匈奴/北方边疆,0170 / 0220,东汉末；南匈奴；北方边疆；贵族骑兵；毛皮；札甲；风味保留,金属盔、毛皮护耳/护颈与披护、札片/金属甲身、完整肩臂防护、重型甲裙及原配兵器,南匈奴贵族骑兵、单于集团高级武人；于夫罗题材,按高价完整套装保留，不拆甲盔。武器优先复合弓＋箭箙＋刀，或弓＋短矛；如替换，仅用同工艺层级的汉末/内亚方向武器。,金属盔；毛皮包边/护颈意象；札片/金属甲身；肩臂防护；长甲裙,考古实物；史书或制度文献；学术研究,中,汉地甲胄与草原毛皮元素适合汉末南匈奴题材，但不足以证明固定南匈奴甲型或于夫罗本人装备。,
未标明工作室,小工作室,北朝精锐着甲骑士,五虎上将｜马超,十六国至北朝重装骑士,十六国至北朝—北方,0350 / 0600,十六国；北朝；着甲骑士；重装骑兵；小甲片重甲；插羽兜鍪；高级武人,高而收束的分片/铆合铁盔风味兜鍪及插羽座、细密鳞札/札片重甲、实体肩臂防护、长甲裙、兽皮/毛皮披风及原配长兵,约0400—0550北方精锐着甲骑士；贵族/高级武人亲随、将领护卫,按高价完整套装保留，不拆甲盔。原配长兵侧翼过大、武将神器感较强，优先换同工艺层级的简洁长矛/槊风味长兵。羽饰可保留一至两根；若要明确表现“甲骑具装”，应另配同时期具装马。,高收束分片/铆合铁盔风味；盔顶插羽座；细密鳞札/札片重甲；实体肩臂防护；长甲裙；兽皮/毛皮披风,考古实物；墓葬俑像；学术研究,中高,盔体分件、插缨与完整重甲更接近十六国—北朝；兽皮披风仅作艺术化身份元素。,
未标明工作室,小工作室,北朝寄生风味着甲骑士,五虎上将｜赵云,十六国至北朝重装骑士,十六国至北朝—北方,0350 / 0600,十六国；北朝；着甲骑士；重骑兵；寄生意象；翼状附件；风味保留,北朝重甲风味甲盔、完整肩臂与甲裙防护、背后大型翼状/羽束式附件及原配兵器,十六国至北朝精锐着甲骑士；寄生风味重骑题材,按高价完整套装保留，不拆甲盔或翼状附件。若正式展示，建议与同时期具装马组合，使背后附件更容易读作骑兵后方装备意象；武器仅在有同工艺层级、更简洁的长矛/槊时替换。,北朝重甲风味甲盔；完整肩臂与甲裙防护；背后大型翼状/羽束式附件,墓葬俑像；同时代图像或绘画；学术研究,中,北朝“寄生”确有骑兵后背防护功能，但商品改成人仔背装大型羽翼，位置和造型明显艺术化。,
未标明工作室,小工作室,北朝盆领札甲甲士,汉甲系列｜盆领款,北朝带盆领护膊札甲,北朝—北方,0450 / 0600,北朝；盆领；札甲；护膊；插缨兜鍪,插缨兜鍪、盆领、札甲甲身、护膊、甲裙,北朝重装武士；北魏后期—东魏/西魏—北齐/北周甲士,主体建议保留；武器可按具体角色换长矛、槊或刀剑。若以后找到更可靠的北朝兜鍪，可少量替换头部,札甲；盆领；护膊；分片/拼合兜鍪；甲裙,考古实物；墓葬俑像；学术研究,中高,盆领本身西汉已有，但该套完整防护结构和整体视觉更适合魏晋南北朝，尤其北朝中后期。,
未标明工作室,小工作室,龙武军甲士·上色版,龙武军｜白膜上色版,唐直身甲士,唐—长安,0618 / 0907,唐；龙武军；直身甲；双圆护；札片顿项；大型披膊；重装甲士,分瓣兜鍪、札片顿项、双圆护直身甲、大型弧形披膊、腰带附件及原配长柄长刃兵器,唐代重装甲士；739年后龙武军/北衙禁军题材；唐代仪卫甲士,按高价完整套装保留，不拆甲盔。原配长柄长刃可保留作唐代长刀风味；若更换，只换同工艺层级长枪/矛、横刀或弓箭具。,分瓣兜鍪；札片顿项；胸腰裙连续长身甲体；成对圆护；大型弧形披膊；边缘包饰,墓葬俑像；同时代图像或绘画；学术研究,中高,直身甲主要结构表现完整；归入唐代直身甲路线，可用于龙武军题材。与量产版属同一路线，差别主要在精细度和结构信息量。,
未标明工作室,小工作室,吐蕃重装武士,吐蕃甲,吐蕃札甲武士,吐蕃—青藏高原,0700 / 0842,吐蕃；札甲；分瓣盔；圆盾；藏地；重装；风味保留,分瓣式羽饰盔、长札甲、双圆护、编织圆盾、长矛,吐蕃重装武士/甲士,原套可直接保留展示；若追求严格吐蕃复原，优先更换晚期感明显的编织圆盾，并谨慎处理胸前双圆护,札甲主体；分瓣盔；双圆护；长甲；圆盾,传世实物；学术研究,中,甲盔与吐蕃时期札甲技术背景相容；编织圆盾明显偏中晚期，双圆护的吐蕃直接依据不足。,
未标明工作室,小工作室,宋代高级武将,赵云｜白袍可拆,两宋细片甲高级武将,两宋,1100 / 1279,宋代；高级武将；重装；凤翅式兜鍪；深顿项；细片甲；白袍可拆,高顶华丽兜鍪及白色大缨、翼状额侧装饰、深颈护/顿项、细密甲片甲身、多层披膊/肩臂防护、分体甲裙、可拆白袍/披风、腰部附件及原配长兵/刀剑类兵器,宋代高级武将、仪卫武将,按高价完整套装保留，不拆甲盔。历史甲胄展示时可取下白色袍披以突出甲体结构；武器如需更换，只换同工艺层级的宋代长枪/矛、刀剑或弓箭具。,高顶分段兜鍪；翼状额侧装饰；深颈护/顿项；多层披膊；分体肩臂防护；细密甲片身甲；分体甲裙；可拆白袍/披风,墓葬俑像；同时代图像或绘画；兵书；学术研究,中高,卖家“赵云”与汉末甲胄视觉不符，本库重解释为宋代高级武将；白袍不参与甲型判断，盔饰、白缨与金饰明显英雄化。,250
未标明工作室,小工作室,背嵬军重装甲士,背嵬军,南宋细片甲重装甲士,南宋,1127 / 1279,宋代；南宋；背嵬军；高级甲士；重装；凤翅式兜鍪；细片甲；高精度,华丽兜鍪及翼状额侧/护耳装饰、大型盔缨、后颈防护、细片甲身、实体披膊/肩臂防护、多层甲裙、箭箙及原配刀剑类兵器,南宋高级重装甲士；背嵬军/精锐亲军题材,按高价完整套装保留，不拆甲盔。原配刀剑与箭箙可保留；若替换，只换同工艺层级的宋代刀剑、长枪/矛或弓箭具。,圆顶/分段兜鍪；翼状额侧/护耳装饰；盔后护颈；细密甲片甲身；实体披膊；分体肩臂防护；多层甲裙；腰带与附件,墓葬俑像；同时代图像或绘画；兵书；史书或制度文献；学术研究,中高,甲盔适合南宋高级重装甲士；背嵬军作为历史语境使用，翼饰、大盔缨与黑色颈巾带有角色化。,350
