卖家,卖家类型,配件名称,类别,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,推荐搭配,甲胄结构/制作方式,复原依据类型,考据置信度,考据备注
未标明工作室,小工作室,藏式札甲,甲身,吐蕃甲｜甲身｜拆件,藏式札甲,藏地—青藏高原,0700 / 1700,札甲；长甲；藏地；双圆护,藏式分瓣盔、弓箭具；严格吐蕃时优先弱化/遮盖双圆护,小型甲片编缀；长袍式札甲；肩臂防护,传世实物；学术研究；现代综合复原,中,札甲方向可置于早期藏地及唐—吐蕃技术交流背景；双圆护缺乏吐蕃直接依据，作为完整吐蕃套装时属跨时期风味方案。
未标明工作室,小工作室,藏式分瓣盔,头盔,吐蕃甲｜头盔｜拆件,藏式分瓣铁盔,藏地—青藏高原,0800 / 1700,藏地；分瓣盔；插缨；护颊；顿项,藏式札甲、弓箭具；若表现早期吐蕃，减少后世装饰,多片拼合盔体；顶部插缨；侧后防护,传世实物；学术研究,中高,8—10世纪已有具明显藏地特征的分片盔传统；商品彩色盔缘、羽饰与完整护颊组合有艺术化。
未标明工作室,小工作室,藏式编织圆盾,盾牌,吐蕃甲｜盾牌｜拆件,藏式编织圆盾,藏地—西藏/喜马拉雅,1400 / 1800,编织；圆盾；同心纹；盾脐；藏地,中晚期藏式札甲、刀剑、长矛,藤/杖材同心编织；中央金属构件,传世实物,高,与14—18世纪藏式编织圆盾高度接近；不宜据此反推吐蕃时期普遍使用同型盾。
乐宜乐,精品量产品牌,苏鲁锭,旗帜,忽必烈【补充包】单独-枪,蒙古苏鲁锭（纛/军旗标志）,蒙古帝国至后续蒙古—东部内亚,1200 / 1800,蒙古；苏鲁锭；苏勒德；纛；军旗；战旗；仪仗；马鬃,蒙古帝国—元、北元及后续蒙古军阵/汗廷仪仗展示；与蒙古骑兵、元代高级武将或营帐场景搭配，不按单兵长枪使用,长杆；中央矛锋状顶饰；两侧上翘叉枝；金色箍座；下垂黑色马鬃/垂缨意象,史书或制度文献；学术研究；现代综合复原,中高,三叉顶饰与黑色垂缨符合现代蒙古纛视觉；sülde兼具精神/权力象征与军旗含义。现有资料不足以支持13世纪原物的精确复原。
移山工作室,精品量产品牌,胸背分体铁甲身,甲身,三国魏兵｜男兵套甲,魏晋两当甲,魏晋,0220 / 0350,魏晋；两当甲；胸背分体；甲裙,魏晋精良甲士；与同组兜鍪、环首刀/剑、长矛或戟搭配,胸背分体甲片面板；肩带联缀；腰带束甲；下接甲裙；衣袖外露,史书或制度文献；学术研究,中高,曹魏“两当铠”有文献依据，商品胸背分体、肩带联缀与腰束方向成立；甲片排列和腰饰属现代复原。
移山工作室,精品量产品牌,分片式铁兜鍪,头盔,三国魏兵｜头盔,魏晋分片式铁兜鍪,魏晋,0250 / 0400,魏晋；兜鍪；分片盔；鳞片；护耳；插缨,魏晋甲士；优先与胸背分体铁甲身、筩袖铠或其他魏晋甲身搭配,分片/鳞片化盔体；侧后护耳；顶部插缨/束饰,墓葬俑像；学术研究,中,分片盔体、护耳与缨饰方向可用；鳞片化表面和侧后结构不足以对应单一考古型，断代低于同组甲身。
Brick Troops,大众量产品牌,汉式短镡剑,武器,第2弹｜华贵宝剑,汉式短镡直身双刃剑,秦汉—中原/华夏,-0200 / 0220,汉；短镡；直剑；双刃剑；单手剑；低矮剑格,秦汉高级武人、甲士或佩剑人物；与汉式札甲、铁胄或常服搭配；不按明清华饰剑使用,直身双刃剑身；短而低矮的横向剑格，两端略上翘；短柄与装饰性柄首,考古实物,中高,核心为先秦两汉常见的短镡/短格语言。
Brick Troops,大众量产品牌,云芝格直身双刃剑,武器,第2弹｜低调宝剑,明代云芝格直身双刃剑,明—中原汉地,1368 / 1644,明；直剑；双刃剑；文镡；云芝格；佩剑；华饰剑,明代官员、高级武人、仪卫/佩剑人物；适合需要晚期华饰直剑但不强调夸张刃纹的方案,直身双刃剑身；片状云芝形剑格；装饰性短柄；大型雕饰柄首,传世实物；学术研究,中高,云芝格是明代典型晚期文镡语言；商品具体浮雕纹样不作为制式依据。
Brick Troops,大众量产品牌,反向云芝格直身双刃剑,武器,第2弹｜传统宝剑,明代云芝格直身双刃剑,明—中原汉地,1368 / 1644,明；直剑；双刃剑；文镡；云芝格；反向云芝格；佩剑；华饰剑,明代官员、高级武人、仪卫/佩剑人物；与上一件属于同一云芝格家族，可按视觉方向差分选择,直身双刃剑身；云芝形片状剑格反向设置；装饰性短柄与柄首；剑身连续纹饰为商品涂装,传世实物；学术研究,中高,与“低调宝剑”核心差分是剑格上下反向。
迪库,大众量产品牌,分瓣铁盔＋片状顿项,头盔,36804｜蒙古兵｜头盔｜拆件,蒙古分瓣铁盔,蒙古帝国至北元—东部内亚,1200 / 1450,蒙古；元；北元；分瓣盔；铁盔；护耳；顿项；骑兵,蒙古帝国—元/北元时期着甲骑兵、骑射兵；可与札甲、复合弓、弯刀搭配,多瓣/分片铁盔壳；额缘压边；侧后片状护耳/顿项；顶部插缨,考古实物；史书或制度文献,中高,分瓣盔体与侧后防护符合13—15世纪蒙古/东部内亚盔胄方向；大缨、纹饰和比例有商品化处理，待实拍复核。
