目标形象,适用年代,地域,头盔建议,甲身建议,武器/盾牌建议,主要避坑
楚汉—西汉小片札甲步兵,-0200 / 0100,楚汉至西汉,小札片编缀胄,小片札甲,双弧盾＋汉式短镡剑；长兵可改卜字戟或铩,小片札甲作为简化量产甲身使用；双弧盾纹样不作制式依据。
西汉大甲片重装步兵,-0150 / 0050,西汉—北方,汉式小札片胄；不要使用更偏东汉的纵向长片铁胄,大型长方形札片甲；若嫌玩具感重，可换更细致的西汉甲身,卜字戟＋双弧盾；也可矛/刀剑,大片甲身有汉代依据；不把同系列“大片胄”与甲身强行视为同一时代组合。
汉代高级札甲武人/甲士,-0100 / 0150,汉,黄忠套装原配小札片编缀铁胄风味头胄；高价整套优先保留,黄忠原套小甲片纹理甲身、肩臂防护与甲裙整体保留,环首长刀、长铍/铩、铁戟或长矛,“黄忠”仅作题材；考古锚点偏西汉，可按宽泛汉代高级甲士/武人使用。
东汉钩镶步兵,0100 / 0200,东汉—北方,纵向长片铁胄候选，或其他可靠东汉铁胄,东汉札甲；现有横列札甲重甲身更适合中后段,钩镶＋刀剑,钩镶是本行核心；甲盔按东汉同代件组合，不把商品原配装备整体绑定。
东汉末高级武官/贵族甲士,0150 / 0220,东汉末—北方,吕布原配紫金冠作为角色化首服保留；高价整套不拆,吕布原套细密小甲片甲身、肩臂防护与甲裙整体保留,环首长刀、长铍/铩或长矛；原配方天画戟可保留作吕布题材展示,甲身适合东汉后期—三国早期高级武人；紫金冠、方天画戟属角色化元素。
东汉末南匈奴贵族骑兵,0170 / 0220,东汉末—南匈奴/北方边疆,于夫罗原配金属盔＋毛皮护耳/护颈风味头部整体保留,于夫罗原套札片/金属甲身、肩臂防护与长甲裙整体保留,复合弓＋箭箙＋刀最稳；也可短矛/长矛。若换件用汉末—内亚方向武器,不作于夫罗本人或固定南匈奴制式甲；价值在汉地甲胄与草原元素的混合文化位置。
东汉末至三国精锐重装步兵,0180 / 0300,东汉末至三国—北方,同工艺层级汉末—三国铁胄,“陷阵营”横列札甲重甲身,虎豹骑环首长刀、长矛；持盾可用弧端长方盾,“陷阵营”作为题材入口，横列札甲结构用于汉末—三国精锐重装步兵。
魏晋两当甲士,0250 / 0350,魏晋,分片式铁兜鍪；也可直接采用“魏晋重装甲士”完整甲盔组合,胸背分体铁甲身；完整套装可直接保留,环首长刀、长矛或戟；弧端长方盾可选,两当甲按胸背分体、肩带联缀结构理解；具体甲片排列不作统一制式。
北朝精锐着甲骑士,0350 / 0600,十六国至北朝—北方,马超套装原配高收束分片/铆合铁盔风味兜鍪；羽饰保留一至两根即可,马超原套细密鳞札/札片重甲、实体肩臂防护与长甲裙整体保留,简洁长矛/槊风味长兵优先；也可配刀剑,卖家“三国马超”不参与断代；兽皮披风仅作艺术化身份元素。
北朝寄生风味着甲骑士,0350 / 0600,十六国至北朝—北方,赵云原配北朝重甲风味头部保留；不拆高价套装,赵云原套重甲主体与背后大型翼状/羽束式附件整体保留,简洁长矛/槊优先,历史“寄生”不等于人仔背装羽翼；本件作为北朝寄生意象的艺术化重骑方案保留。
