字段/规则,说明
卖家,记录品牌/工作室等现代销售来源；未知不虚构。
配件/套装名称,沿用人工整理的简短显示名，优先描述实物或最醒目的视觉主题；品牌、编号、完整卖家原名留在“卖家原名/来源编号”。本轮不批量重命名既有显示名称。
套装处理,完整甲胄方案进“套装索引”，独立头盔、甲件、武器、盾牌等进“配件索引”。普通量产套装可抽取有独立判断和复用价值的零件；高价上色/工作室完整成品默认不为单件而拆。
适用年代,统一使用 XXXX-XXXX 文本格式；三位数年份补前导0。幻想或不适用历史定年的项目记为 0000-0000；该范围用于筛选，不代表精确考古定年。
考据置信度,配件置信度＝历史类型与年代/文化判断的可靠程度；套装置信度＝整套时代、文化和装备组合的协调程度。幻想件置信度留空，不用“高”表示“高度确定它是幻想”。
商品名与历史名,卖家商品名只作来源，不等于历史分类。历史类型优先采用现代研究中通行、现代人可理解的名称；有稳定中文译名时中文为主，外文术语可放标签用于检索。
时代边界,1510年以后不少甲胄已进入文艺复兴/近世早期；为收藏连续性仍保留，但不得反过来代表中世纪早期或盛期。
幻想件,Rohan Sword、Double Headed Battle Axe、Black Falcon Armor 等明确标为幻想，年代记 0000-0000、置信度留空，并以“幻想”标签隔离，不参与严格历史搭配。
当前批次,v9.4 一致性审校：不新增商品；清理历史类型中的“玩具化/造型化/组合型/参照”等评价性限定、备注中的收藏评价与价格重复，调整幻想件置信度，并同步字段规则。
复合文化标签,标签原子化只适用于真正并列词；具有固定复合语义的文化概念不可机械拆分。尤其“波斯/Persianate”与“伊朗/Iranian”需按具体历史语境区分，不能为词表整齐直接互换。
参考价格,只记录用户明确提供或确认的价格；价格信息留在专列，不在考据备注重复。
量产套装拆件规则,低价量产套装可同时记录整套并抽取有价值的独立配件；同模仅换色/纹章原则上合并为配件族，但必须确认同模后再合并，不能仅凭表格文字推定。
套装收录门槛,高/中高＝正常正式收录；中＝仅在题材稀缺、文化辨识度强且问题可明确限定时作为“风味保留”收录，置信度仍填“中”，标签写“风味保留”；中低/低原则上不收录。
卖家类型,小工作室、量产品牌等现代销售来源分类。
卖家原名/来源编号,完整保留商品编号、目录编号、卖家原名和拆件来源用于溯源；无官方命名时写所属套装/系列＋“无官方命名”＋内部序号，不伪造卖家编号或商品名。
类别,使用受控类别：头盔、头盔附件、颈部防具、甲身、肩甲、臂甲、服装/附件、马铠/马具、武器、盾牌。
历史类型/考据名称,回答历史装备本身是什么；优先使用成熟结构分类，不把“玩具化、艺术化、组合型、某实物参照”等评价或证据说明塞进类型名。必要的阶段词可以保留，角色、地域和搭配说明不进入此列。
历史地域/文化圈,记录主要历史地域或军事文化圈，不写卖家所在地、角色身份或“亦见某地”式解释；跨文化传播可用简洁复合地域表达。
风格/检索标签,使用便于横向筛选的结构、用途、视觉与外文检索词，以“；”分隔。真正并列词尽量原子化；固定复合文化传统保持整体语义，不机械拆词。
考据备注,只记录争议、异常、艺术化、年代/文化错配、纹章/身份限制和模型妥协；不重复“推荐搭配”、收藏评价、展示价值或价格。
快速搭配中的“妥协”,表示时代与文化方向可用现有零件近似实现，但仍缺关键文化锚点或专属部件；用于临时kitbash，不视为标准复原。
