字段/规则,说明
一、核心方法论,
配件判定总流程,先遮蔽商品名、人物/兵种标签，按可见结构归入宽泛结构族；再用A/B级证据核年代/文化，细节足够才细分。原套身份不覆盖零件本体。
商品名与历史名,卖家名只作来源；人物名、军号、题材名不决定甲型或武器类型。显示名称回答“看起来是什么”，历史类型回答“历史上是什么”。
时代、结构与适用年代,时代≠甲型，文化/政权≠单一装备结构。适用年代记录证据支持的合理存在范围；晚期保存实物不能无条件倒推早期。
代表性与存在性,“历史上可成立”不等于“最适合作为代表”。代表性写入“适合表现”；延续、非独占或边缘用途仅必要时写备注。
精细度递进判定,模型能支持到哪一层就判到哪一层；关键比例、连接或独特结构不足时保持宽泛名称。
证据优先级,A＝考古实物/报告、墓葬或同时代图像、馆藏/官方研究；B＝学术论文、专业研究、严谨复原；C＝考据较好的官方游戏立绘；D＝考据型Mod/现代复原；E＝商业图像、影视、卖家宣传。A/B定历史判断，C/D辅助，E仅看造型。
复原依据类型,只记录证据类型：考古实物、传世实物、墓葬俑像、同时代图像或绘画、兵书、史书或制度文献、学术研究、现代综合复原。馆藏地点不另作类型；馆方研究说明归“学术研究”；具名来源仅必要时写备注。
二、字段与收录规则,
来源、卖家类型与显示名称,“卖家”记品牌/工作室；编号、系列和完整卖家名放“卖家原名/来源编号”。“卖家类型”只用大众量产品牌/精品量产品牌/小工作室，按品牌/系列整体定位判断。显示名称按可见形制简洁命名，不塞品牌、编号或人物；时代/文化前缀只在区分同类时保留。
历史类型/考据名称,优先用现代考古、甲胄研究中通行且可理解的结构分类。稳定器物主名能独立成立时不加朝代前缀，年代/地域交给对应字段。已有成熟分类不造近义名；古籍名对应不稳时放标签/备注。套装名称用于收藏识别，历史类型用于装备分类。
历史地域/文化圈,以“时代/政权/文化层—地域/文化圈”为主，无筛选意义不加泛地域。宽泛中国条目可写汉、魏晋、唐、两宋、明等；地域确有意义再加—北方、—长安、—河西等。“中原/汉地”仅有分析意义时用。时代跨度用“至”，破折号只分隔时代与地域。
风格/检索标签,标签原子化并以“；”分隔，同一概念固定一种写法。独立配件不保留仅来自原套人物、军号或兵种的标签；解释性“××语境”原则上不作标签。操作类固定用“低成本；高精度；跨套复用；模块化；风味保留”等。
普通完整套装处理,普通完整套装以整套购买/使用为基本单位，可少量替换；有独立历史判断和复用价值的头盔、甲身、武器、盾牌、弓箭具、马具仍可进配件索引。用户明确“可以拆”时再按零件矿评价。
高价完整套装处理,上色成品（约200+）与高价工作室套装（约500+）默认只按完整套装评价，不拆件建配件；可少量更换同时期同类附件，但需兼顾历史合理性与整体工艺。用户明确“一点不能换”时完全按原套评价。
套装收录与风味保留,高/中高＝正式收录；中＝仅在题材稀缺、文化辨识度强且问题可限定时作“风味保留”，置信度仍填“中”，标签写“风味保留”，备注简述限制；中低/低原则上不收录。
考据置信度,配件置信度衡量“历史类型＋年代/文化范围”的可靠度，受形制信息量限制；套装置信度衡量整套年代、文化与装备组合的协调度。高＝清楚；中高＝大方向稳；中＝需限定但可用；中低/低＝证据或结构不足。售价、涂装、雕花不提高置信度。
同模/换色,同模、换色、跨系列重复出现的零件或套装原则上不重复建档，只补充来源；没有证据时不写“翻模”，只能写“疑似同模/高度近似/同一造型族”。
套装内容 / 适合表现,“套装内容”只写商品里有什么；“适合表现”只写最适合的兵种、身份或视觉层级。本人复原、专属制服等限制写考据备注；换件要求写搭配建议。
搭配/替换建议,只写怎样保留、替换或重组更合理；高价成品还要兼顾比例、涂装与整体工艺。身份是否专属、制度是否成立、商品名是否误导等历史解释放考据备注。
结构/制作方式字段,记录模型本体可观察的结构、覆盖、连接与制作特征，不承担角色或年代说明；不可见材料和内部工艺不写入此列。
考据备注,只记录真正影响历史解释的内容：厂商命名错误、年代/文化错配、艺术化、身份/纹章/礼仪限制、代表性问题、模型结构妥协等；不重复历史类型、“适合表现”和搭配建议。高信息量备注不强行统一字数。
适用年代格式,统一写作“起始 / 终止”，年份补足四位，例如 -0050 / 0050、0450 / 0600、1750 / 1800；公元前年份用负数。
参考价格,只记录用户明确提供或确认的价格；空白不解释为免费，也不自行补猜价格。
三、甲胄史核查导航,
视觉初筛的用途,本节以机核《中国甲胄发展史》三篇作现代分类与时代导航，只用于陌生、错标或幻想化商品初筛。顺序：可见结构 → 导航定位 → A/B级材料核查 → 回到商品判断。图示演变不作为单条历史结论。
先秦—秦汉,优先观察单片甲、侧襟札甲、筩袖/短袖式甲身等路线；遇到“汉甲”商品，头盔、甲身、盾牌、武器仍分别断代，不把整套锁死在同一时期。
魏晋—南北朝—隋,筩袖/夹克式札甲继续发展，两当甲及其披裹化路线成为重要结构。双圆护先记为可见部件，不直接等同“明光甲”；文献“明光甲”与圆护型甲胄须另证。
