卖家,卖家类型,配件名称,类别,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,推荐搭配,考据置信度,考据备注
龙牌,小工作室,封闭盔,头盔,MEDIEVAL 01｜ENCLOSED HELM,早期封闭盔,西欧,1200-1250,十字军；封闭盔,锁甲、罩袍、筝形/早期熨斗盾,高,向巨盔过渡的早期封闭式头盔。
龙牌,小工作室,桶盔,头盔,MEDIEVAL 02｜GREAT HELM,巨盔,西欧,1250-1350,十字军；巨盔,锁甲、罩袍、骑枪、熨斗盾,高,
龙牌,小工作室,鸟嘴武装盔,头盔,MEDIEVAL 03｜ARMET,武装盔,北意大利（米兰、伦巴第）,1440-1510,米兰式；全身板甲,米兰式甲、骑枪、长剑,高,
龙牌,小工作室,新诺曼盔 #1,头盔,MEDIEVAL 04｜NEW NORMAN HELM #1,锥形鼻护盔,诺曼—西欧,1000-1150,锁甲,长锁甲、筝形盾、长矛,高,可做11世纪诺曼/英格兰征服时期。
龙牌,小工作室,新诺曼盔 #2,头盔,MEDIEVAL 05｜NEW NORMAN HELM #2,锥形鼻护盔变体,诺曼—西欧,1000-1150,锁甲,长锁甲、筝形盾、长矛,高,
龙牌,小工作室,新诺曼盔 #3,头盔,MEDIEVAL 06｜NEW NORMAN HELM #3,锥形鼻护盔变体,诺曼—西欧,1000-1150,锁甲,长锁甲、筝形盾、长矛,高,带护颈视觉更重。
龙牌,小工作室,猪盆盔,头盔,MEDIEVAL 07｜BASCINET,盆盔,西欧—中欧,1300-1400,盆盔,锁甲护颈、coat-of-plates/过渡板甲,高,14世纪骑士常用。
龙牌,小工作室,新猪盆盔,头盔,MEDIEVAL 08｜NEW BASCINET,盆盔＋锁甲护颈,西欧—中欧,1330-1420,锁甲护颈,过渡板甲、长剑、骑枪,高,可直接表现带锁甲护颈的盆盔。
龙牌,小工作室,德式猎犬盔,头盔,MEDIEVAL 09｜HOUNSKULL KLAPPVISOR,犬嘴盆盔,德意志—中欧,1370-1420,犬嘴盆盔,过渡板甲、锁甲护颈、骑枪,高,年代辨识度很强。
龙牌,小工作室,护鼻中盔,头盔,MEDIEVAL 10｜BRETACHE BASCINET,带护鼻盆盔,法国—西欧,1320-1380,盆盔；护鼻,锁甲、早期板件、圆盾/小盾,中,
