卖家,卖家类型,套装名称,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,套装内容,适合表现,考据置信度,搭配/替换建议,考据备注,参考价格（元）
龙牌,小工作室,米兰甲套装,ARMOR 01｜MILANESE ARMOR SUIT,米兰式全身板甲,北意大利（米兰、伦巴第）,1450-1500,米兰式；圆润,胸甲、肩甲、臂甲、甲裙等整体甲身,北意大利骑士/重骑兵,高,优先配 MEDIEVAL 03 武装盔；骑枪/长剑,,
龙牌,小工作室,哥特式甲套装,ARMOR 02｜GOTHIC ARMOR SUIT,德意志高哥特式板甲,德意志南部—奥地利,1470-1500,高哥特式；细腰；尖锐,哥特式胸甲、肩甲、甲裙等,晚15世纪德意志骑士,高,优先配 MEDIEVAL 21 萨莱特盔；poleaxe/骑枪,,
龙牌,小工作室,新哥特式盔甲套装,ARMOR 03｜NEW GOTHIC ARMOR SUIT,晚期哥特式—马克西米利安式过渡板甲,德意志—中欧,1500-1530,晚期哥特式；马克西米利安化；过渡；凹槽,凹槽化胸甲、肩臂甲等,16世纪初德意志重装骑士,中高,可配封闭盔/早期16世纪封闭盔,不宜当作1470年代典型高哥特。,
打铁的尼古拉,小工作室,马克西米利安套装,马克西米利安套装,马克西米利安式凹槽板甲,德意志南部,1510-1530,马克西米利安；凹槽,密集凹槽全身板甲、封闭盔等,16世纪初德意志骑士/宫廷武装,中高,可配长剑、poleaxe、早期16世纪盾牌,图片中圆盾更像搭配展示，未必是该式骑士的典型成套战场配置。,
打铁的尼古拉,小工作室,翼骑兵套装,翼骑兵套装,波兰—立陶宛翼骑兵,波兰—立陶宛联邦,1620-1680,翼骑兵,半身板甲、翼架、长骑枪、军刀及毛皮/装饰性配件,17世纪波兰—立陶宛联邦翼骑兵,高,可与长骑枪、军刀、szyszak系头盔及骑乘展示结合,经典翼骑兵属于近世早期，不应用来代表1410年前后的中世纪波兰骑士。,
粤睿智达,量产品牌,双塔鸢尾骑士,N338｜双塔鸢尾骑士,锅盔＋布面甲晚期中世纪装备组合,西欧—中欧,1350-1500,锅盔；布面甲,宽檐钢盔、布面甲、简易肩甲、锤/长柄锤等,15世纪步兵、佣兵、骑士随从或泛纹章角色,中高,锅盔＋布面甲 是很实用的组合；武器可按步兵/骑士身份替换,四款中整体时代协调度相对较好；仍建议把量产件视为可拆重组的零件库。,
未标明品牌,量产品牌,条顿纹章骑士,条顿骑士长铁骑,纹章化巨盔＋锁甲马铠装备组合,德意志骑士团—波罗的海地区,1250-1350,巨盔；锁甲马铠；纹章盔饰；重骑兵,纹章化巨盔、锁甲骑士、锁甲马铠、长枪/长矛、盾,13世纪后半—14世纪初条顿骑士团高级骑士/重骑兵陈列,中高,若追求战场感可缩减夸张盔饰，并将盾改为更标准的白底黑色直十字,巨盔＋锁甲＋锁甲马铠的基础组合可信；巨大翼状盔饰与斜十字盾更偏戏剧化/纹章化。,
未标明品牌,量产品牌,文艺复兴装饰甲骑士,哥特骑士【男素体】,德意志文艺复兴早期装饰板甲,德意志南部—奥地利,1510-1530,早期封闭盔；装饰板甲；服装化造型,可翻面甲的早期封闭盔、圆鼓装饰胸甲、夸张肩臂甲、长剑,16世纪初德意志贵族/宫廷重装武士；马克西米利安时代装饰甲形象,中高,若追求更严谨的马克西米利安式风格，可弱化黄绿菱格下摆并搭配更朴素的16世纪初腿甲/服装,商品名虽称“哥特骑士”，但造型已明显进入1510–1530的德意志文艺复兴早期；并非1470–1490典型高哥特甲。,10.6
VE,量产品牌,城堡守卫,VE0111｜城堡守卫,锅盔＋颈防晚期中世纪装备组合,西欧—中欧,1350-1500,锅盔；城堡守卫；步兵,锅盔＋颈防、锁甲/布甲、剑、长盾,14–15世纪守卫、民兵、佣兵,中高,可拆锅盔配布面甲；盾牌按纹章需求替换,身份名称较泛，但装备时代组合协调。,
VE,量产品牌,锁甲戟兵,VE0138｜士兵,锅盔＋颈防晚期中世纪装备组合,西欧—中欧,1350-1500,锅盔；锁甲；长柄武器；步兵,锅盔＋颈防、锁甲身体、长柄斧枪、筝形/长盾,14–15世纪步兵、城镇民兵、佣兵,中高,可换更小盾或无盾；头盔和锁甲身体都适合拆用,装备时代组合协调；商品身份仅作题材名。,
