卖家,卖家类型,配件名称,类别,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,推荐搭配,甲胄结构/制作方式,复原依据类型,考据置信度,考据备注
未标明品牌,大众量产品牌,N系共用传统威甲甲身,甲身,N326；N327；N328；N329；N331；N333｜共用甲身｜拆件,战国传统小札威甲风甲身（胴丸/腹巻未定）,日本,1450 / 1600,日本；室町末；战国；小札；威甲；甲身；同模；低成本；跨套复用,普通武士、下级侍或足轻风味组合；具体身份由头具、指物和武器决定,六套完全同一甲身模具，仅印刷/配色不同；小札/威毛视觉；肩部防护；分段草摺意象,传世实物；同时代图像或绘画；学术研究,中高,传统威甲方向成立，但现有单图无法确认右胁/背面引合，故不细分胴丸或腹巻；同模换色只建一条。
未标明品牌,大众量产品牌,黑色侍烏帽子,头具,N326；N327｜侍烏帽子｜拆件,侍烏帽子／折烏帽子,日本,1300 / 1600,日本；室町；战国；武士；烏帽子；折烏帽子；非防护；跨套复用,披甲但未戴兜的武士、营阵/整装人物；正面战斗时不替代真正防护兜,低矮黑色硬化帽体；顶部折叠隆起；无錣、无护颈等防护构件,同时代图像或绘画；学术研究,中高,属于武士头具而非足轻兜或防护头盔；N326、N327同模合并建档。
未标明品牌,大众量产品牌,量产阵笠,头具,N328；N329；N331；N333｜阵笠｜拆件,陣笠,日本,1500 / 1800,日本；战国末；安土桃山；江户；足轻；阵笠；军阵；跨套复用,足轻、下级武士；与旗指物、火绳枪、长槍或简化具足搭配,低矮硬质笠体；圆形/浅锥轮廓；不同编号主要为涂装差分,传世实物；同时代图像或绘画；学术研究,中高,阵笠方向明确；不同涂装不另建甲型或头具条目。
未标明品牌,大众量产品牌,背负式旗指物,旗帜,N328；N329；N331；N333｜背旗/指物｜拆件,旗指物／背旗,日本,1500 / 1650,日本；战国末；安土桃山；指物；背旗；军阵识别；足轻；跨套复用,战国末—桃山足轻或武士军阵；旗面纹样按目标部队另行选择,竖向旗杆；横杆悬旗；背负式固定；各套旗面颜色/纹样不同,传世实物；同时代图像或绘画；史书或制度文献,高,指物作为军阵识别装备方向明确；商品旗面不自动对应真实家纹或具体部队。
未标明品牌,大众量产品牌,和弓,武器,N326｜和弓｜拆件,和弓,日本,1100 / 1800,日本；和弓；长弓；非对称弓；弓射；武士；跨套复用,中世—近世弓手；可与侍烏帽子、兜、阵笠及箭具按身份搭配,长弓轮廓；上下明显不等长；握位偏下,传世实物；同时代图像或绘画；学术研究,高,一级轮廓抓住和弓最关键的非对称长弓特征。
未标明品牌,大众量产品牌,雁股鏃风箭矢,弓箭具,N326｜U形箭头｜拆件,雁股箭／雁股鏃风箭矢,日本,1100 / 1600,日本；箭；雁股；雁股鏃；弓箭具；中世；跨套复用,与和弓、骑射/步射武士搭配；可与普通箭矢混合表现箭具,箭杆；U形叉状宽刃箭头；两端外展,传世实物；文化财资料；学术研究,中高,U形箭头与雁股鏃核心轮廓接近；同套另一透空宽鏃不据此强行定名。
未标明品牌,大众量产品牌,弯身日本刀,武器,N327｜日本刀｜拆件,日本刀（太刀/打刀未定）,日本,1400 / 1650,日本；刀；单刃；弯刀；武士；室町；战国；跨套复用,室町后期—桃山普通武士；具体太刀/打刀语境由佩带方式和鞘具决定,弯曲单刃刀身；短柄；独立镡意象,传世实物；学术研究,中,刀身方向成立，但缺少可靠佩带结构，不仅凭裸刀细分太刀或打刀。
未标明品牌,大众量产品牌,火绳枪,武器,N328｜铁炮｜拆件,火縄銃／铁炮,日本,1543 / 1650,日本；战国；安土桃山；火绳枪；铁炮；足轻；火器；跨套复用,铁炮足轻、战国末武士或火器手；与阵笠、指物组合辨识度高,长枪管；木托；火绳枪机意象；积木比例简化,传世实物；同时代图像或绘画；史书或制度文献,高,火绳枪基本结构与16世纪日本军用火器语境相容；同套不明三叉状小件不建档。
未标明品牌,大众量产品牌,大型金砕棒,武器,N329｜金砕棒风兵器｜拆件,金砕棒／铁棒风重型击兵,日本,1400 / 1650,日本；金砕棒；铁棒；棒；重型击兵；武士；艺术化,高级/角色化徒步武士；不建议作为普通足轻的标准主武器,长直棒身；密集突起；加粗握持段,史书或制度文献；学术研究；现代综合复原,中,器物方向可理解，但商品尺寸和突起处理明显英雄化；身份代表性弱于槍、弓、铁炮。
未标明品牌,大众量产品牌,片鎌槍,武器,N331｜片鎌槍｜拆件,片鎌槍,日本,1500 / 1600,日本；室町末；战国；槍；片鎌槍；特殊槍；跨套复用,战国武士、特殊槍使用者；普通足轻组合时不必优先使用,中央长主穗；单侧发达鎌刃；长杆,传世实物；博物馆藏品；学术研究,中高,类型成立；商品器首比例偏大，器物存在性与普通足轻代表性应分开评价。
未标明品牌,大众量产品牌,长巻风长柄刀,武器,N333｜长巻风长柄刀｜拆件,长巻,日本,1300 / 1600,日本；南北朝；室町；战国；长巻；长柄刀；跨套复用,南北朝—室町/战国步战武士；与传统威甲或晚期具足均可按年代搭配,长弯刀身；明显镡；长剑柄式握部；刃柄长度接近,传世实物；文化财资料；学术研究,中高,长柄的剑柄化结构和刃柄比例更接近长巻拵，不按典型薙刀收录。
未标明品牌,大众量产品牌,WM共用具足甲身,甲身,WM2010；WM2011；WM2014；WM999｜共用甲身｜拆件,战国—桃山具足甲身（具体胴型未定）,日本,1500 / 1650,日本；战国；安土桃山；具足；甲身；同模；低成本；跨套复用,普通武士至高级武士；可与阵笠、侍烏帽子或战国兜按身份组合,四套使用同一立体甲身模具，仅印刷/配色不同；胴部、肩部防护与下部草摺/裙甲结构一致,传世实物；同时代图像或绘画；学术研究,中,客观模具同一，因此不得按涂装拆成不同甲型；侧后开合不可见，不细分二枚胴、五枚胴、桶侧胴或佛胴。
未标明品牌,大众量产品牌,金色大矩形板片甲身,甲身,WM966｜独立甲身｜拆件,板札甲／当世具足风甲身（具体类型未定）,日本,1550 / 1700,日本；战国末；江户初；板札；大矩形板片；金色；高级武士；艺术化,高级武士或高度装饰化人物；不作为普通足轻或标准当世具足基准,独立甲身模具；大块矩形板片错列排列；胸、肩及下部均采用块状板甲语言；整体金色涂装,传世实物；学术研究；现代综合复原,中,与其他WM甲身不同模；板片结构不足以强认畳具足或骨牌金，全金色处理明显商品化。
未标明品牌,大众量产品牌,WM共用平滑圆钵兜,头盔,WM2009；WM2010；WM2011；WM2014；WM2016；WM970；WM999｜共用兜体｜拆件,当世兜风平滑圆钵兜（具体鉢型未定）,日本,1500 / 1650,日本；战国末；安土桃山；兜；圆钵；吹返；錣；同模；跨套复用,战国中后期普通至高级武士；前立按身份和年代另行选择,平滑圆钵；宽大吹返式侧翼；多段錣；前立安装位；面頬与兜体一体成型；七套主要为换色/前立差分,传世实物；博物馆藏品；学术研究,中高,多数保留WM共用/高度近似同一兜体；不因前立不同重复建档，也不强定头形兜等更细鉢型
未标明品牌,大众量产品牌,金色多筋兜,头盔,WM966｜多筋兜｜拆件,筋兜,日本,1400 / 1650,日本；室町；战国；筋兜；多筋；兜；高级武士；跨套复用,室町后期—桃山武士；可与传统威甲或晚期具足按身份组合,兜鉢表面多条纵向筋；多段錣；整体金色涂装,传世实物；博物馆藏品；学术研究,中高,纵向筋是WM中最清楚的独立兜体差分；金色涂装属商品化，不改变筋兜方向。
未标明品牌,大众量产品牌,大型月形前立,头盔配件,WM2009；WM2016｜月形前立｜拆件,月形前立,日本,1500 / 1650,日本；战国末；安土桃山；前立；月形；高级武士；跨套复用,战国末—桃山武士兜；不自动绑定伊达政宗或任何具体人物,大型单片弧月形立物；金色；前额安装,传世实物；博物馆藏品；学术研究,中高,月形前立历史方向成立；商品比例偏大，具体人物身份必须由整套组合决定。
未标明品牌,大众量产品牌,双曲角状＋轮形复合前立,头盔配件,WM2010｜复合立物｜拆件,复合前立（角状立物＋轮形中央饰）,日本,1500 / 1650,日本；战国末；安土桃山；前立；角状；轮形；高级武士,高级武士/武将兜；与简洁甲身组合时注意避免过度角色化,左右双曲角状立物；中央大型轮形构件；一体化复合造型,传世实物；学术研究；现代综合复原,中,大型复合立物这一方向符合战国末兜饰语境，但具体角形＋轮形组合缺少直接实物对应。
未标明品牌,大众量产品牌,宽U形角状前立,头盔配件,WM2011｜U形立物｜拆件,角状前立（鍬形意匠风）,日本,1450 / 1650,日本；室町末；战国；前立；角状；鍬形意匠；高级武士,传统威甲或战国具足；优先用于中上级武士,宽U形主体；两端外撇并截平；中央三条波纹饰,传世实物；博物馆藏品；现代综合复原,中,外轮廓借用鍬形语言，但关键结构不足以直接定为标准鍬形。
未标明品牌,大众量产品牌,二つ巴圆形前立,头盔配件,WM2014｜巴纹前立｜拆件,巴纹前立,日本,1500 / 1650,日本；战国末；安土桃山；前立；巴纹；纹章；高级武士；跨套复用,战国武士兜；作为通用纹章件使用，不绑定特定人物或家族,大型圆环框；内部二つ巴纹样；金色,传世实物；同时代图像或绘画；学术研究,中高,巴纹作为纹章/装饰语言成立；商品巨大尺寸仍有艺术化。
未标明品牌,大众量产品牌,细长双角状复合前立,头盔配件,WM970｜双角立物｜拆件,角状复合前立,日本,1500 / 1650,日本；战国末；安土桃山；前立；双角；抽象立物；高级武士,高级武士/武将兜；最终是否使用取决于混搭后的比例协调,两根极长细角状立物；中央几何符号；金色,传世实物；现代综合复原,中,角状/抽象立物在战国末历史环境中成立，但本件具体几何形态明显商品化。
未标明品牌,大众量产品牌,大型U形角状前立,头盔配件,WM999｜大型U形立物｜拆件,大型角状前立,日本,1500 / 1650,日本；战国末；安土桃山；前立；大型角状；侍大将；高级武士,高级武士、侍大将；不建议作为普通足轻/普通武士通用前立,高耸大型U形角状一体前立；金色,传世实物；博物馆藏品；现代综合复原,中,外轮廓接近天衝视觉，但它是一体前立而非左右独立脇立，故不写“天衝脇立”。
未标明品牌,大众量产品牌,军配团扇,武器,WM999｜军配｜拆件,軍配団扇,日本,1500 / 1700,日本；战国末；安土桃山；江户；军配；指挥；侍大将；跨套复用,侍大将、高级武士、军阵指挥人物；与普通足轻身份区分,有柄大型扁平团扇；黑色扇面；金色包边,传世实物；博物馆藏品；史书或制度文献,高,器物类别与高级指挥身份协调；商品比例较大但未改变基本类型。
