目标形象,年代,地域,头盔建议,甲身建议,武器/盾牌建议,主要避坑
维京/诺斯精英,0900-1050,斯堪的纳维亚,维京盔1/2（MEDIEVAL 19/20）,链甲带肩甲（ARMOR 07）或普通锁甲身体,圆盾（SHIELD 02）；长矛/斧,不要人人重甲＋眼镜盔；避免板甲。
东罗马重装骑兵,0950-1100,东罗马—巴尔干—安纳托利亚,半球盔1；也可用半球盔2,札甲胸甲优先；下身用条片裙甲或锁甲裙1/2,鸢形盾；长矛；剑,条片裙甲更适合东罗马本体，不宜随意借给所有东方文化。
11世纪诺曼骑士,1000-1150,诺曼—西欧,新诺曼盔 #1–#3（MEDIEVAL 04/05/06）；量产可借锥形鼻护盔＋锁甲护颈（VE0110/0113/0115）、分片式鼻护盔＋锁甲护颈（VE0139/0141/0142）,链甲带肩甲（ARMOR 07）；量产可用锁甲躯干（VE0138）/朴素布衣身体（VE0139–0142）,长矛（WEAPON 05/06）；鸢形盾（优先选较朴素纹样或改涂）；剑,不要巨盔/全身板甲；龙牌东罗马鸢形盾的盾形可借，但装饰纹样不等于诺曼纹章。
东罗马重装步兵,1000-1150,东罗马—巴尔干—安纳托利亚,半球盔2；也可用分片式尖顶盔,鳞甲胸甲或锁甲胸甲；下身用锁甲裙1/2,鸢形盾；长矛；剑,比重装骑兵更适合朴素装备；避免把所有步兵都做成札甲精锐。
11–13世纪普通步兵/扈从,1000-1250,西欧—中欧,量产优先锥形鼻护盔＋锁甲护颈（VE0110/0113/0115），或分片式鼻护盔＋锁甲护颈（VE0139/0141/0142）；分片鼻护盔＋锁甲护颈（ST3832/ST3835/T3634）,锁甲躯干（VE0138）；朴素布衣/厚布衣身体（VE0139–0142）；链甲骑士可作全身锁甲基础躯干（ST）,长矛、剑、斧；圆盾/鸢形盾,不要配巨盔、萨莱特盔或成熟全身板甲；VE0110“Sassanid Archer”商品名不可当历史依据。
罗斯/东欧重装武士,1050-1250,罗斯—东欧—黑海北岸接触圈,分片式尖顶盔；库曼头盔2–5；也可借较朴素的东罗马半球盔,札甲胸甲或锁甲胸甲；下身用锁甲裙1/2,圆盾（SHIELD 02）或较朴素鸢形盾；长矛、斧、剑；复合弓可选,按“北欧＋东罗马＋草原”混合体系理解；不要把库曼面具盔普及到普通罗斯武士。
穆拉比特/穆瓦希德柏柏尔骑兵,1080-1250,马格里布—安达卢斯,较简单的锥形/开放盔；可借穆斯林头盔4，轻装角色也可不用金属盔,朴素布衣/厚布衣为主；富裕者可用锁甲胸甲或札甲胸甲,小圆盾；轻长矛/标枪；复合弓；直剑,柏柏尔不等于人人轻装，但不要全队做成重甲罐头；札甲只给较富裕/精锐人物更自然。
库曼/钦察贵族骑兵,1100-1300,黑海—里海草原,库曼头盔1–5（THE CUMAN 01–05）,库曼甲（ARMOR 10）优先；札甲胸甲可作巴尔干/东欧接触区替代,长枪；圆盾；最好补复合弓,面具盔只给少数精英；不要全队复制同一重甲层级。
安纳托利亚塞尔柱重骑兵,1100-1250,安纳托利亚—伊朗化突厥军事圈,穆斯林头盔3/4（THE MIDDLE EAST 03/04）；也可借库曼头盔2–5,札甲胸甲优先；锁甲胸甲也可；下身用锁甲裙1/2,圆盾；长矛；复合弓；剑,避免整套照搬东罗马盾纹和条片裙甲；用圆盾与弓具把视觉拉回突厥—伊朗体系。
安达卢斯重骑兵,1100-1250,安达卢斯—伊比利亚穆斯林地区,锥形鼻护盔（MEDIEVAL 04–06，借形）或穆斯林头盔4,锁甲胸甲/链甲带肩甲（ARMOR 07）优先；精锐可借札甲胸甲,鸢形/杏仁形盾；长枪；直剑；圆盾也可,11–13世纪安达卢斯重骑兵与伊比利亚基督教骑士装备可很接近；不要强行套后世奥斯曼式弯刀和头巾盔。
